title	year	value	canton	file_year
Population density per km2	2010	438	Aargau	2012
Population density per km2	2010	197	Switzerland	2012
Population density per km2	2010	827	Zurich	2012
Population density per km2	2010	546	Zug	2012
Population density per km2	2010	253	Vaud	2012
Population density per km2	2010	60	Valais	2012
Population density per km2	2010	34	Uri	2012
Population density per km2	2010	122	Ticino	2012
Population density per km2	2010	323	Solothurn	2012
Population density per km2	2010	172	Schwyz	2012
Population density per km2	2010	256	Schaffhausen	2012
Population density per km2	2010	245	Saint	2012
Population density per km2	2010	74	Obwalden	2012
Population density per km2	2010	288	Thurgau	2012
Population density per km2	2010	240	Neuchâtel	2012
Population density per km2	2010	170	Nidwalden	2012
Population density per km2	2010	91	Appenzell	2012
Population density per km2	2010	530	Basel-Landschaft	2012
Population density per km2	2010	4,999	Basel-Stadt	2012
Population density per km2	2010	168	Bern	2012
Population density per km2	2010	175	Fribourg	2012
Population density per km2	2010	218	Appenzell	2012
Population density per km2	2010	57	Glarus	2012
Population density per km2	2010	27	Graubünden	2012
Population density per km2	2010	84	Jura	2012
Population density per km2	2010	264	Lucerne	2012
Population density per km2	2010	1,862	Geneva	2012
Population density per km²	2011	74.7	Obwalden	2013
Population density per km²	2011	247.7	Saint	2013
Population density per km²	2011	258.7	Schaffhausen	2013
Population density per km²	2011	173.7	Schwyz	2013
Population density per km²	2011	325.1	Solothurn	2013
Population density per km²	2011	292.0	Thurgau	2013
Population density per km²	2011	60.8	Valais	2013
Population density per km²	2011	33.5	Uri	2013
Population density per km²	2011	257.2	Vaud	2013
Population density per km²	2011	555.8	Zug	2013
Population density per km²	2011	198.9	Switzerland	2013
Population density per km²	2011	122.9	Ticino	2013
Population density per km²	2011	171.1	Nidwalden	2013
Population density per km²	2011	838.3	Zurich	2013
Population density per km²	2011	267.3	Lucerne	2013
Population density per km²	2011	241.6	Neuchâtel	2013
Population density per km²	2011	219.5	Appenzell	2013
Population density per km²	2011	91.3	Appenzell	2013
Population density per km²	2011	532.0	Basel-Landschaft	2013
Population density per km²	2011	5,033.9	Basel-Stadt	2013
Population density per km²	2011	443.2	Aargau	2013
Population density per km²	2011	178.6	Fribourg	2013
Population density per km²	2011	1,873.5	Geneva	2013
Population density per km²	2011	57.6	Glarus	2013
Population density per km²	2011	27.2	Graubünden	2013
Population density per km²	2011	168.6	Bern	2013
Population density per km²	2011	84.1	Jura	2013
Population density per km²	2012	249.7	Saint	2014
Population density per km²	2012	261.5	Schaffhausen	2014
Population density per km²	2012	176.0	Schwyz	2014
Population density per km²	2012	328.0	Solothurn	2014
Population density per km²	2012	296.9	Thurgau	2014
Population density per km²	2012	33.8	Uri	2014
Population density per km²	2012	61.7	Valais	2014
Population density per km²	2012	201.0	Switzerland	2014
Population density per km²	2012	75.1	Obwalden	2014
Population density per km²	2012	848.0	Zurich	2014
Population density per km²	2012	124.6	Ticino	2014
Population density per km²	2012	172.2	Nidwalden	2014
Population density per km²	2012	1,884.0	Geneva	2014
Population density per km²	2012	270.2	Lucerne	2014
Population density per km²	2012	84.6	Jura	2014
Population density per km²	2012	27.3	Graubünden	2014
Population density per km²	2012	57.8	Glarus	2014
Population density per km²	2012	562.9	Zug	2014
Population density per km²	2012	182.8	Fribourg	2014
Population density per km²	2012	169.9	Bern	2014
Population density per km²	2012	5,065.5	Basel-Stadt	2014
Population density per km²	2012	534.3	Basel-Landschaft	2014
Population density per km²	2012	91.1	Appenzell	2014
Population density per km²	2012	220.0	Appenzell	2014
Population density per km²	2012	449.7	Aargau	2014
Population density per km²	2012	243.5	Neuchâtel	2014
Population density per km²	2012	260.2	Vaud	2014
Population density per km²	2013	538.4	Basel-Landschaft	2015
Population density per km²	2013	221.1	Appenzell	2015
Population density per km²	2013	858.3	Zurich	2015
Population density per km²	2013	62.7	Valais	2015
Population density per km²	2013	33.9	Uri	2015
Population density per km²	2013	126.4	Ticino	2015
Population density per km²	2013	301.6	Thurgau	2015
Population density per km²	2013	330.7	Solothurn	2015
Population density per km²	2013	177.8	Schwyz	2015
Population density per km²	2013	264.2	Schaffhausen	2015
Population density per km²	2013	252.1	Saint	2015
Population density per km²	2013	75.9	Obwalden	2015
Population density per km²	2013	173.4	Nidwalden	2015
Population density per km²	2013	246.1	Neuchâtel	2015
Population density per km²	2013	273.1	Lucerne	2015
Population density per km²	2013	85.6	Jura	2015
Population density per km²	2013	27.4	Graubünden	2015
Population density per km²	2013	58.2	Glarus	2015
Population density per km²	2013	1,909.7	Geneva	2015
