title	year	value	canton	file_year
65 years or over	2012	17.4	Switzerland	2014
65 years or over	2012	18.7	Uri	2014
65 years or over	2012	21.0	Ticino	2014
65 years or over	2012	15.9	Thurgau	2014
65 years or over	2012	18.2	Solothurn	2014
65 years or over	2012	15.7	Schwyz	2014
65 years or over	2012	19.8	Schaffhausen	2014
65 years or over	2012	16.7	Saint	2014
65 years or over	2012	16.2	Obwalden	2014
65 years or over	2012	17.4	Nidwalden	2014
65 years or over	2012	18.2	Neuchâtel	2014
65 years or over	2012	17.8	Valais	2014
65 years or over	2012	16.4	Lucerne	2014
65 years or over	2012	18.8	Graubünden	2014
65 years or over	2012	18.1	Glarus	2014
65 years or over	2012	16.4	Geneva	2014
65 years or over	2012	14.4	Fribourg	2014
65 years or over	2012	19.4	Bern	2014
65 years or over	2012	20.6	Basel-Stadt	2014
65 years or over	2012	20.4	Basel-Landschaft	2014
65 years or over	2012	17.5	Appenzell	2014
65 years or over	2012	18.1	Appenzell	2014
65 years or over	2012	16.1	Aargau	2014
65 years or over	2012	18.9	Jura	2014
65 years or over	2012	16.0	Vaud	2014
65 years or over	2012	15.7	Zug	2014
65 years or over	2012	16.6	Zurich	2014
65 years or over	2013	17.6	Switzerland	2015
65 years or over	2013	18.1	Valais	2015
65 years or over	2013	18.9	Uri	2015
65 years or over	2013	21.3	Ticino	2015
65 years or over	2013	16.1	Thurgau	2015
65 years or over	2013	18.5	Solothurn	2015
65 years or over	2013	16.1	Schwyz	2015
65 years or over	2013	20.1	Schaffhausen	2015
65 years or over	2013	17.0	Saint	2015
65 years or over	2013	16.6	Obwalden	2015
65 years or over	2013	18.0	Nidwalden	2015
65 years or over	2013	18.3	Neuchâtel	2015
65 years or over	2013	16.6	Lucerne	2015
65 years or over	2013	19.2	Graubünden	2015
65 years or over	2013	18.4	Glarus	2015
65 years or over	2013	16.5	Geneva	2015
65 years or over	2013	14.6	Fribourg	2015
65 years or over	2013	19.7	Bern	2015
65 years or over	2013	20.5	Basel-Stadt	2015
65 years or over	2013	20.7	Basel-Landschaft	2015
65 years or over	2013	17.8	Appenzell	2015
65 years or over	2013	18.3	Appenzell	2015
65 years or over	2013	16.4	Aargau	2015
65 years or over	2013	16.8	Zurich	2015
65 years or over	2013	19.2	Jura	2015
65 years or over	2013	16.1	Vaud	2015
65 years or over	2013	16.0	Zug	2015
65 years or over	2014	16.8	Zurich	2016
65 years or over	2014	17.8	Bern	2016
65 years or over	2014	16.6	Aargau	2016
65 years or over	2014	18.6	Appenzell	2016
65 years or over	2014	18.1	Appenzell	2016
65 years or over	2014	21.0	Basel-Landschaft	2016
65 years or over	2014	20.4	Basel-Stadt	2016
65 years or over	2014	19.9	Bern	2016
65 years or over	2014	14.8	Fribourg	2016
65 years or over	2014	16.5	Geneva	2016
65 years or over	2014	18.8	Glarus	2016
65 years or over	2014	19.6	Graubünden	2016
65 years or over	2014	19.6	Jura	2016
65 years or over	2014	16.8	Lucerne	2016
65 years or over	2014	18.6	Nidwalden	2016
65 years or over	2014	16.2	Zug	2016
65 years or over	2014	16.2	Vaud	2016
65 years or over	2014	18.5	Valais	2016
65 years or over	2014	21.6	Ticino	2016
65 years or over	2014	16.4	Thurgau	2016
65 years or over	2014	19.2	Uri	2016
65 years or over	2014	16.4	Schwyz	2016
65 years or over	2014	20.2	Schaffhausen	2016
65 years or over	2014	17.2	Saint	2016
65 years or over	2014	17.1	Obwalden	2016
65 years or over	2014	18.8	Solothurn	2016
65 years or over	2014	18.4	Neuchâtel	2016
65 years or over	2015	21.8	Ticino	2017
65 years or over	2015	20.5	Schaffhausen	2017
65 years or over	2015	16.8	Schwyz	2017
65 years or over	2015	18.9	Solothurn	2017
65 years or over	2015	16.7	Thurgau	2017
65 years or over	2015	16.9	Aargau	2017
65 years or over	2015	16.3	Vaud	2017
65 years or over	2015	16.4	Zug	2017
65 years or over	2015	16.9	Zurich	2017
65 years or over	2015	17.5	Saint	2017
65 years or over	2015	18.7	Valais	2017
65 years or over	2015	18.0	Bern	2017
65 years or over	2015	19.5	Uri	2017
