title	year	value	canton	file_year
65 years or over	2015	18.5	Neuchâtel	2017
65 years or over	2015	19.0	Nidwalden	2017
65 years or over	2015	18.8	Appenzell	2017
65 years or over	2015	18.3	Appenzell	2017
65 years or over	2015	21.2	Basel-Landschaft	2017
65 years or over	2015	20.2	Basel-Stadt	2017
65 years or over	2015	20.1	Bern	2017
65 years or over	2015	17.5	Obwalden	2017
65 years or over	2015	16.5	Geneva	2017
65 years or over	2015	19.1	Glarus	2017
65 years or over	2015	20.1	Graubünden	2017
65 years or over	2015	20.0	Jura	2017
65 years or over	2015	17.0	Lucerne	2017
65 years or over	2015	15.0	Fribourg	2017
65 years or over	2016	17.7	Saint	2018
65 years or over	2016	20.7	Schaffhausen	2018
65 years or over	2016	17.1	Schwyz	2018
65 years or over	2016	19.1	Solothurn	2018
65 years or over	2016	22.0	Ticino	2018
65 years or over	2016	19.7	Uri	2018
65 years or over	2016	19.0	Valais	2018
65 years or over	2016	16.3	Vaud	2018
65 years or over	2016	16.5	Zug	2018
65 years or over	2016	16.9	Thurgau	2018
65 years or over	2016	18.0	Obwalden	2018
65 years or over	2016	17.2	Lucerne	2018
65 years or over	2016	18.6	Neuchâtel	2018
65 years or over	2016	20.2	Jura	2018
65 years or over	2016	20.5	Graubünden	2018
65 years or over	2016	19.4	Glarus	2018
65 years or over	2016	15.2	Fribourg	2018
65 years or over	2016	20.3	Bern	2018
65 years or over	2016	20.1	Basel-Stadt	2018
65 years or over	2016	21.4	Basel-Landschaft	2018
65 years or over	2016	18.5	Appenzell	2018
65 years or over	2016	18.9	Appenzell	2018
65 years or over	2016	17.1	Aargau	2018
65 years or over	2016	19.4	Nidwalden	2018
65 years or over	2016	16.5	Geneva	2018
65 years or over	2016	18.1	Bern	2018
65 years or over	2016	16.9	Zurich	2018
65 years or over	2017	18.3	Switzerland	2019
65 years or over	2017	17.0	Zurich	2019
65 years or over	2017	16.7	Zug	2019
65 years or over	2017	16.4	Vaud	2019
65 years or over	2017	19.3	Valais	2019
65 years or over	2017	20.1	Uri	2019
65 years or over	2017	17.3	Thurgau	2019
65 years or over	2017	19.3	Solothurn	2019
65 years or over	2017	17.4	Schwyz	2019
65 years or over	2017	21.0	Schaffhausen	2019
65 years or over	2017	18.0	Saint	2019
65 years or over	2017	18.3	Obwalden	2019
65 years or over	2017	17.4	Aargau	2019
65 years or over	2017	18.8	Neuchâtel	2019
65 years or over	2017	19.7	Nidwalden	2019
65 years or over	2017	19.2	Appenzell	2019
65 years or over	2017	18.7	Appenzell	2019
65 years or over	2017	21.7	Basel-Landschaft	2019
65 years or over	2017	20.0	Basel-Stadt	2019
65 years or over	2017	20.6	Bern	2019
65 years or over	2017	22.3	Ticino	2019
65 years or over	2017	16.4	Geneva	2019
65 years or over	2017	19.7	Glarus	2019
65 years or over	2017	20.9	Graubünden	2019
65 years or over	2017	20.6	Jura	2019
65 years or over	2017	17.4	Lucerne	2019
65 years or over	2017	15.5	Fribourg	2019
65 years or over	2018	19.0	Neuchâtel	2020
65 years or over	2018	17.6	Lucerne	2020
65 years or over	2018	20.9	Jura	2020
65 years or over	2018	21.3	Graubünden	2020
65 years or over	2018	20.1	Glarus	2020
65 years or over	2018	16.4	Geneva	2020
65 years or over	2018	19.9	Basel-Stadt	2020
65 years or over	2018	20.8	Bern	2020
65 years or over	2018	21.9	Basel-Landschaft	2020
65 years or over	2018	19.1	Appenzell	2020
65 years or over	2018	19.7	Appenzell	2020
65 years or over	2018	15.7	Fribourg	2020
65 years or over	2018	17.7	Aargau	2020
65 years or over	2018	20.3	Nidwalden	2020
65 years or over	2018	18.2	Saint	2020
65 years or over	2018	18.5	Switzerland	2020
65 years or over	2018	17.0	Zurich	2020
65 years or over	2018	17.0	Zug	2020
65 years or over	2018	18.8	Obwalden	2020
65 years or over	2018	19.6	Valais	2020
65 years or over	2018	16.4	Vaud	2020
65 years or over	2018	22.6	Ticino	2020
65 years or over	2018	17.6	Thurgau	2020
65 years or over	2018	19.6	Solothurn	2020
65 years or over	2018	17.7	Schwyz	2020
65 years or over	2018	21.2	Schaffhausen	2020
65 years or over	2018	20.4	Uri	2020
65 years or over	2019	21.4	Schaffhausen	2021
65 years or over	2019	18.2	Schwyz	2021
65 years or over	2019	19.9	Solothurn	2021
65 years or over	2019	17.9	Thurgau	2021
65 years or over	2019	17.0	Zurich	2021
65 years or over	2019	20.8	Uri	2021
65 years or over	2019	19.9	Valais	2021
65 years or over	2019	16.6	Vaud	2021
65 years or over	2019	17.3	Zug	2021
65 years or over	2019	18.5	Saint	2021
65 years or over	2019	23.0	Ticino	2021
65 years or over	2019	19.3	Obwalden	2021
65 years or over	2019	16.4	Geneva	2021
65 years or over	2019	19.3	Neuchâtel	2021
65 years or over	2019	17.8	Lucerne	2021
65 years or over	2019	21.3	Jura	2021
65 years or over	2019	21.7	Graubünden	2021
65 years or over	2019	20.4	Glarus	2021
65 years or over	2019	16.0	Fribourg	2021
65 years or over	2019	21.1	Bern	2021
65 years or over	2019	19.8	Basel-Stadt	2021
65 years or over	2019	22.2	Basel-Landschaft	2021
65 years or over	2019	19.6	Appenzell	2021
65 years or over	2019	19.9	Appenzell	2021
65 years or over	2019	17.9	Aargau	2021
65 years or over	2019	20.9	Nidwalden	2021
65 years or over	2019	18.7	Switzerland	2021
>64 years	2010	15.5	Aargau	2012
>64 years	2010	16.3	Zurich	2012
>64 years	2010	15.2	Zug	2012
>64 years	2010	15.7	Vaud	2012
>64 years	2010	17.1	Valais	2012
>64 years	2010	18.1	Uri	2012
>64 years	2010	20.4	Ticino	2012
>64 years	2010	15.4	Thurgau	2012
>64 years	2010	17.7	Solothurn	2012
>64 years	2010	15.0	Schwyz	2012
>64 years	2010	19.4	Schaffhausen	2012
>64 years	2010	16.1	Saint	2012
>64 years	2010	15.4	Obwalden	2012
>64 years	2010	16.9	Switzerland	2012
>64 years	2010	17.7	Neuchâtel	2012
>64 years	2010	17.6	Appenzell	2012
>64 years	2010	16.9	Appenzell	2012
>64 years	2010	19.5	Basel-Landschaft	2012
>64 years	2010	16.2	Nidwalden	2012
>64 years	2010	18.8	Bern	2012
>64 years	2010	20.8	Basel-Stadt	2012
>64 years	2010	15.8	Geneva	2012
>64 years	2010	17.8	Glarus	2012
>64 years	2010	17.9	Graubünden	2012
>64 years	2010	18.1	Jura	2012
>64 years	2010	16.0	Lucerne	2012
>64 years	2010	14.0	Fribourg	2012
>64 years	2011	16.4	Saint	2013
>64 years	2011	19.6	Schaffhausen	2013
>64 years	2011	15.4	Schwyz	2013
>64 years	2011	18.0	Solothurn	2013
>64 years	2011	15.5	Zug	2013
>64 years	2011	20.8	Ticino	2013
>64 years	2011	18.5	Uri	2013
>64 years	2011	17.4	Valais	2013
>64 years	2011	15.8	Vaud	2013
>64 years	2011	15.9	Obwalden	2013
>64 years	2011	15.7	Thurgau	2013
>64 years	2011	16.8	Nidwalden	2013
>64 years	2011	14.2	Fribourg	2013
>64 years	2011	16.2	Lucerne	2013
>64 years	2011	18.5	Jura	2013
>64 years	2011	18.4	Graubünden	2013
>64 years	2011	17.9	Glarus	2013
>64 years	2011	16.1	Geneva	2013
>64 years	2011	19.1	Bern	2013
>64 years	2011	20.7	Basel-Stadt	2013
>64 years	2011	20.0	Basel-Landschaft	2013
>64 years	2011	17.0	Appenzell	2013
>64 years	2011	17.9	Appenzell	2013
>64 years	2011	15.9	Aargau	2013
>64 years	2011	16.5	Zurich	2013
>64 years	2011	18.0	Neuchâtel	2013
>64 years	2011	17.2	Switzerland	2013
