title	year	value	canton	file_year
Total surface area in km²	2016	1,404.0	Aargau	2021
Total surface area in km²	2016	3,212.2	Vaud	2021
Total surface area in km²	2016	5,224.8	Valais	2021
Total surface area in km²	2016	1,076.3	Uri	2021
Total surface area in km²	2016	2,812.3	Ticino	2021
Total surface area in km²	2016	991.5	Thurgau	2021
Total surface area in km²	2016	790.4	Solothurn	2021
Total surface area in km²	2016	908.0	Schwyz	2021
Total surface area in km²	2016	298.4	Schaffhausen	2021
Total surface area in km²	2016	2,030.7	Saint	2021
Total surface area in km²	2016	490.6	Obwalden	2021
Total surface area in km²	2016	275.9	Nidwalden	2021
Total surface area in km²	2016	1,728.9	Zurich	2021
Total surface area in km²	2016	802.3	Neuchâtel	2021
Total surface area in km²	2016	838.6	Jura	2021
Total surface area in km²	2016	7,105.0	Graubünden	2021
Total surface area in km²	2016	685.4	Glarus	2021
Total surface area in km²	2016	282.3	Geneva	2021
Total surface area in km²	2016	1,671.4	Fribourg	2021
Total surface area in km²	2016	5,959.4	Bern	2021
Total surface area in km²	2016	37.0	Basel-Stadt	2021
Total surface area in km²	2016	517.7	Basel-Landschaft	2021
Total surface area in km²	2016	172.4	Appenzell	2021
Total surface area in km²	2016	242.9	Appenzell	2021
Total surface area in km²	2016	238.7	Zug	2021
Total surface area in km²	2016	1,493.3	Lucerne	2021
Total surface area in km²	2016	41,290.4	Switzerland	2021
