title	year	value	canton	file_year
German	2000	87.1	Aargau	2012
German	2000	3.9	Geneva	2012
German	2000	88.9	Lucerne	2012
German	2000	4.4	Jura	2012
German	2000	68.3	Graubünden	2012
German	2000	85.8	Glarus	2012
German	2000	91.2	Appenzell Ausserrhoden	2012
German	2000	29.2	Fribourg	2012
German	2000	79.3	Basel-Stadt	2012
German	2000	87.2	Basel-Landschaft	2012
German	2000	92.9	Appenzell Innerrhoden	2012
German	2000	92.5	Nidwalden	2012
German	2000	4.1	Neuchâtel	2012
German	2000	84.0	Bern	2012
German	2000	92.3	Obwalden	2012
German	2000	88.5	Thurgau	2012
German	2000	83.4	Zurich	2012
German	2000	85.1	Zug	2012
German	2000	4.7	Vaud	2012
German	2000	28.4	Valais	2012
German	2000	93.5	Uri	2012
German	2000	63.7	Switzerland	2012
German	2000	88.3	Solothurn	2012
German	2000	89.9	Schwyz	2012
German	2000	87.6	Schaffhausen	2012
German	2000	88.0	Saint Gallen	2012
German	2000	8.3	Ticino	2012
German	2010	89.4	Aargau	2013
German	2010	92.7	Appenzell Ausserrhoden	2013
German	2010	93.8	Appenzell Innerrhoden	2013
German	2010	5.9	Neuchâtel	2013
German	2010	80.8	Basel-Stadt	2013
German	2010	89.3	Basel-Landschaft	2013
German	2010	90.2	Glarus	2013
German	2010	5.8	Geneva	2013
German	2010	76.3	Graubünden	2013
German	2010	6.7	Jura	2013
German	2010	85.7	Bern	2013
German	2010	29.4	Fribourg	2013
German	2010	90.7	Lucerne	2013
German	2010	28.0	Valais	2013
German	2010	95.5	Nidwalden	2013
German	2010	85.0	Zurich	2013
German	2010	90.0	Saint Gallen	2013
German	2010	89.0	Schaffhausen	2013
German	2010	90.3	Schwyz	2013
German	2010	89.5	Solothurn	2013
German	2010	91.0	Thurgau	2013
German	2010	94.0	Obwalden	2013
German	2010	94.1	Uri	2013
German	2010	7.1	Vaud	2013
German	2010	86.1	Zug	2013
German	2010	65.6	Switzerland	2013
German	2010	11.1	Ticino	2013
German	2012	87.3	Glarus	2015
German	2012	5.0	Geneva	2015
German	2012	28.8	Fribourg	2015
German	2012	85.1	Bern	2015
German	2012	80.2	Basel-Stadt	2015
German	2012	88.5	Aargau	2015
German	2012	92.2	Appenzell Ausserrhoden	2015
German	2012	74.6	Graubünden	2015
German	2012	64.9	Switzerland	2015
German	2012	84.7	Zug	2015
German	2012	6.8	Vaud	2015
German	2012	95.1	Appenzell Innerrhoden	2015
German	2012	7.2	Jura	2015
German	2012	89.9	Solothurn	2015
German	2012	6.0	Neuchâtel	2015
German	2012	83.9	Zurich	2015
German	2012	26.5	Valais	2015
German	2012	94.1	Uri	2015
German	2012	10.8	Ticino	2015
German	2012	90.6	Thurgau	2015
German	2012	88.5	Basel-Landschaft	2015
German	2012	89.6	Schwyz	2015
German	2012	92.9	Nidwalden	2015
German	2012	92.6	Obwalden	2015
German	2012	90.4	Lucerne	2015
German	2012	88.8	Schaffhausen	2015
German	2012	89.3	Saint Gallen	2015
German	2013	5.5	Neuchâtel	2016
German	2013	92.5	Obwalden	2016
German	2013	89.3	Saint Gallen	2016
German	2013	87.6	Schaffhausen	2016
German	2013	89.9	Thurgau	2016
German	2013	89.6	Solothurn	2016
German	2013	64.5	Bern	2016
German	2013	10.6	Ticino	2016
German	2013	93.0	Uri	2016
German	2013	26.2	Valais	2016
German	2013	6.5	Vaud	2016
German	2013	83.9	Zug	2016
German	2013	90.2	Schwyz	2016
German	2013	92.7	Nidwalden	2016
German	2013	89.8	Lucerne	2016
German	2013	28.7	Fribourg	2016
German	2013	83.5	Zurich	2016
German	2013	88.1	Aargau	2016
German	2013	92.2	Appenzell Ausserrhoden	2016
German	2013	88.0	Basel-Landschaft	2016
German	2013	93.2	Appenzell Innerrhoden	2016
German	2013	85.1	Bern	2016
German	2013	5.0	Geneva	2016
German	2013	87.8	Glarus	2016
German	2013	75.1	Graubünden	2016
German	2013	7.0	Jura	2016
German	2013	79.3	Basel-Stadt	2016
German	2014	78.8	Basel-Stadt	2017
German	2014	92.5	Appenzell Ausserrhoden	2017
German	2014	95.5	Appenzell Innerrhoden	2017
German	2014	88.7	Basel-Landschaft	2017
German	2014	5.9	Neuchâtel	2017
German	2014	88.0	Aargau	2017
German	2014	5.3	Geneva	2017
German	2014	88.0	Glarus	2017
German	2014	74.9	Graubünden	2017
German	2014	7.0	Jura	2017
German	2014	85.0	Bern	2017
German	2014	28.7	Fribourg	2017
German	2014	93.4	Obwalden	2017
German	2014	89.7	Lucerne	2017
German	2014	91.3	Nidwalden	2017
German	2014	88.8	Schaffhausen	2017
German	2014	89.7	Schwyz	2017
German	2014	89.2	Solothurn	2017
German	2014	90.3	Thurgau	2017
German	2014	26.4	Valais	2017
German	2014	89.0	Saint Gallen	2017
German	2014	6.3	Vaud	2017
German	2014	83.6	Zug	2017
German	2014	83.5	Zurich	2017
German	2014	11.4	Ticino	2017
German	2014	64.5	Bern	2017
German	2014	92.7	Uri	2017
German	2016	27.4	Fribourg	2018
German	2016	84.1	Bern	2018
German	2016	77.8	Basel-Stadt	2018
German	2016	87.3	Basel-Landschaft	2018
German	2016	93.4	Appenzell Innerrhoden	2018
German	2016	91.6	Nidwalden	2018
German	2016	87.3	Aargau	2018
German	2016	4.5	Geneva	2018
German	2016	63.5	Bern	2018
German	2016	82.2	Zurich	2018
German	2016	87.4	Glarus	2018
German	2016	92.0	Appenzell Ausserrhoden	2018
German	2016	74.9	Graubünden	2018
German	2016	7.5	Jura	2018
German	2016	5.6	Neuchâtel	2018
German	2016	87.8	Schaffhausen	2018
German	2016	89.7	Schwyz	2018
German	2016	88.8	Solothurn	2018
German	2016	10.7	Ticino	2018
German	2016	93.3	Uri	2018
German	2016	88.4	Saint Gallen	2018
German	2016	6.0	Vaud	2018
German	2016	82.5	Zug	2018
German	2016	89.4	Thurgau	2018
German	2016	91.0	Obwalden	2018
German	2016	89.3	Lucerne	2018
German	2016	25.9	Valais	2018
German	2016-2018	4.3	Geneva	2020
German	2016-2018	26.5	Fribourg	2020
German	2016-2018	83.1	Bern	2020
German	2016-2018	76.5	Basel-Stadt	2020
German	2016-2018	86.3	Basel-Landschaft	2020
German	2016-2018	5.6	Vaud	2020
German	2016-2018	86.0	Aargau	2020
German	2016-2018	80.9	Zug	2020
German	2016-2018	81.6	Zurich	2020
German	2016-2018	62.5	Switzerland	2020
German	2016-2018	85.8	Glarus	2020
German	2016-2018	90.9	Appenzell Ausserrhoden	2020
German	2016-2018	74.3	Graubünden	2020
German	2016-2018	92.6	Appenzell Innerrhoden	2020
German	2016-2018	88.2	Lucerne	2020
German	2016-2018	6.1	Jura	2020
German	2016-2018	24.3	Valais	2020
German	2016-2018	91.9	Uri	2020
German	2016-2018	9.9	Ticino	2020
German	2016-2018	89.0	Thurgau	2020
German	2016-2018	87.5	Solothurn	2020
German	2016-2018	4.8	Neuchâtel	2020
German	2016-2018	88.4	Schwyz	2020
German	2016-2018	87.1	Schaffhausen	2020
German	2016-2018	87.3	Saint Gallen	2020
German	2016-2018	90.5	Obwalden	2020
German	2016-2018	91.2	Nidwalden	2020
German	2017	88.0	Saint Gallen	2019
German	2017	88.4	Schaffhausen	2019
